StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Q4,Q5,Q7,Q9,Q10,Q11,Q12,Q14,Q13,Q15,Q16
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Subject ID,"If you choose the green plane, which island will the pilot go to?","If you choose the orange plane, which island will the pilot go to?","If you choose the pink plane, which island will the pilot go to?","If you are currently on the island with the lighthouse, which island will the pilot go to next?","If you are currently on the island with the volcano, which island will the pilot go to next?","If you are currently on the island with the palm tree, which island will the pilot go to next?",Was it easier to tell when one pilot was flying than the other?,Which pilot's flying pattern (color or route) was easier to figure out?,What strategy did you use?,Check all the strategies that you used to figure out which pilot (color or route) was flying the planes.,How difficult was the task for you?,How was the task?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}"
2018-07-30 08:18:27,2018-07-30 08:21:57,IP Address,128.122.114.135,100,209,True,2018-07-30 08:21:57,R_3fqMWI7Wn5wVJRD,,,,,40.731704711914,-73.988502502441,anonymous,EN,113,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,Yes,IM_8wCDeTdgCWcZdL7,choosing the color plane that would go in the opposite direction of the pilot with the constant route,"Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.,Tested to see if a plane flew to a particular island based on the color of the plane. If the plane flew to that island, then the color pilot was flying. If the plane did not go to that island, then the route pilot was flying.,Chose the plane color that would not take you to the next island in the particular route to confirm which pilot was flying.",Hard,Very boring
2018-07-30 08:33:47,2018-07-30 10:27:01,IP Address,128.122.114.135,100,6794,True,2018-07-30 10:27:02,R_3OkVmTluBmFwyIs,,,,,40.731704711914,-73.988502502441,anonymous,EN,118,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,Yes,IM_8wCDeTdgCWcZdL7,I memorized the destination and its color,"Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.,Tested to see if a plane flew to a particular island based on the color of the plane. If the plane flew to that island, then the color pilot was flying. If the plane did not go to that island, then the route pilot was flying.,Remembered the destination of two planes for the color pilot and could then figure out where the third plane flew",Just right,A little boring
2018-07-30 10:48:52,2018-07-30 12:14:41,IP Address,216.165.95.177,100,5148,True,2018-07-30 12:14:41,R_1DpfHQzPmd7LOR3,,,,,40.731704711914,-73.988502502441,anonymous,EN,121,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,No,,"For the color based pilot I just memorized the colors for each island and thought of how that color connects to the object on the island to help remember. For the pilot with a specific route I remembered ""VIP"" as in volcano, lighthouse, palm tree. ","Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.,Tested to see if a plane flew to a particular island based on the color of the plane. If the plane flew to that island, then the color pilot was flying. If the plane did not go to that island, then the route pilot was flying.",Just right,Fine
2018-07-30 13:33:31,2018-07-30 14:20:32,IP Address,128.122.114.135,100,2820,True,2018-07-30 14:20:32,R_3J278O48ADkhiyF,,,,,40.731704711914,-73.988502502441,anonymous,EN,109,IM_74jBTzPDkGoDxM9,IM_20tjmbukTsjjNNX,IM_4ZoANqBWGZ4sYXX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,Yes,IM_eQaHAXU7QfllDs9,I tried to remember which color matches with what island,"Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.,Chose the same color plane over and over again",Just right,A little boring
2018-07-31 07:05:10,2018-07-31 08:50:07,IP Address,216.165.95.188,100,6297,True,2018-07-31 08:50:07,R_qydR0HUateMI68V,,,,,40.731704711914,-73.988502502441,anonymous,EN,110,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,Yes,IM_8wCDeTdgCWcZdL7,I would keep the route in mine and click on the plane the would go to another island that is not in the route. For example if im in the palm tree island i would choose the orange plane to go to the lighthouse and depending where I go I would know what pilot is flying. Overall the color pilot was easier to figure out.,Chose the plane color that would not take you to the next island in the particular route to confirm which pilot was flying.,Just right,A little boring
2018-07-31 07:00:34,2018-07-31 09:26:23,IP Address,128.122.114.135,100,8749,True,2018-07-31 09:26:23,R_0Nbe2hSH5wuQ0i5,,,,,40.731704711914,-73.988502502441,anonymous,EN,100,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,Yes,IM_8wCDeTdgCWcZdL7,"I remember that pink was the island and green was the volcano.when the I chose pink but the program didn't go to the island i would assume that i was the pilot who wanted to go in a specific route. ","Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.,Tested to see if a plane flew to a particular island based on the color of the plane. If the plane flew to that island, then the color pilot was flying. If the plane did not go to that island, then the route pilot was flying.,Decided which pilot was flying based on whether or not you received treasure,Remembered the destination of two planes for the color pilot and could then figure out where the third plane flew,Other",Just right,A little boring
2018-07-31 09:34:28,2018-07-31 10:11:30,IP Address,128.122.114.135,100,2221,True,2018-07-31 10:11:31,R_xFsAXkKn8PaARZD,,,,,40.731704711914,-73.988502502441,anonymous,EN,104,IM_74jBTzPDkGoDxM9,IM_4ZoANqBWGZ4sYXX,IM_20tjmbukTsjjNNX,IM_4ZoANqBWGZ4sYXX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,Yes,IM_eQaHAXU7QfllDs9,make a mistake to see which one was right and which one was wrong,"Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.",Hard,Very boring
2018-07-31 10:53:55,2018-07-31 12:28:23,IP Address,128.122.114.135,100,5667,True,2018-07-31 12:28:23,R_af8NhtYwwKXyOQx,,,,,40.731704711914,-73.988502502441,anonymous,EN,MonCon111,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,Yes,IM_8wCDeTdgCWcZdL7,I remembered the route that one pilot used so that if most of the colors didn't match up I could follow the route without having to pay attention to both things at the same time.,"Tested to see if a plane flew to a particular island based on the color of the plane. If the plane flew to that island, then the color pilot was flying. If the plane did not go to that island, then the route pilot was flying.,Decided which pilot was flying based on whether or not you received treasure,Remembered the destination of two planes for the color pilot and could then figure out where the third plane flew",Hard,Very boring
2018-07-31 12:21:17,2018-07-31 13:24:35,IP Address,216.165.95.159,100,3797,True,2018-07-31 13:24:35,R_24iTTJIqxkLjGQB,,,,,40.731704711914,-73.988502502441,anonymous,EN,136,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,Yes,IM_eQaHAXU7QfllDs9,"I remembered the route, and when given the two options I chose the opposite plane. For example, if I was on the island with the volcano and it showed me the orange and pink planes, I would choose the pink plane, because if it was the color pattern, it would take me to the palm trees, and if it was the route pattern, it would still take me to the lighthouse.","Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.,Tested to see if a plane flew to a particular island based on the color of the plane. If the plane flew to that island, then the color pilot was flying. If the plane did not go to that island, then the route pilot was flying.,Chose the plane color that would not take you to the next island in the particular route to confirm which pilot was flying.,Decided which pilot was flying based on whether or not you received treasure",Just right,Fine
