PIN,DeviceID,Assessment Name,Inst,RawScore,Theta,TScore,SE,ItmCnt,DateFinished,Column1,Column2,Column3,Column4,Column5,Language,Computed Score,Uncorrected Standard Score,Age-Corrected Standard Score,National Percentile (age adjusted),Fully-Corrected T-score,InstrumentBreakoff,InstrumentStatus2,InstrumentRCReason,InstrumentRCReasonOther,App Version,iPad Version,Firmware Version
MonCon101,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,14,,,,14,8/14/18 14:43,,,,,,en-US,,90,89,24,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon102,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,21,,,,19,8/3/18 17:55,,,,,,en-US,,117,121,92,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon104,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,18,,,,16,8/13/18 12:23,,,,,,en-US,,105,100,50,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon105,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,18,,,,16,8/7/18 10:26,,,,,,en-US,,105,97,43,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon106,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,24,,,,18,8/4/18 13:03,,,,,,en-US,,128,139,99,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon107,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,21,,,,19,8/1/18 14:33,,,,,,en-US,,117,127,96,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon108,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,16,,,,15,7/31/18 16:50,,,,,,en-US,,97,91,27,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon113,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,24,,,,17,8/8/18 15:46,,,,,,en-US,,128,134,99,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon114,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,14,,,,14,8/1/18 11:05,,,,,,en-US,,90,93,33,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon115,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,19,,,,18,8/1/18 10:54,,,,,,en-US,,109,108,71,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon116,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,19,,,,18,8/2/18 14:35,,,,,,en-US,,109,102,57,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon117,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,18,,,,16,8/1/18 15:14,,,,,,en-US,,105,96,40,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon119,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,16,,,,18,8/6/18 15:33,,,,,,en-US,,97,103,58,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon120,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,20,,,,20,8/3/18 15:48,,,,,,en-US,,113,111,77,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon122,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,18,,,,16,8/1/18 12:30,,,,,,en-US,,105,115,84,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon123,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,22,,,,18,8/3/18 11:09,,,,,,en-US,,120,128,97,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon124,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,19,,,,18,8/2/18 18:18,,,,,,en-US,,109,122,93,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon125,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,16,,,,15,8/2/18 19:29,,,,,,en-US,,97,97,43,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon126,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,19,,,,18,8/2/18 16:18,,,,,,en-US,,109,110,76,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon127,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,18,,,,16,7/31/18 18:39,,,,,,en-US,,105,97,42,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon128,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,16,,,,15,8/3/18 13:16,,,,,,en-US,,97,86,17,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon129,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,21,,,,20,7/31/18 18:23,,,,,,en-US,,117,112,80,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon131,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,18,,,,16,8/3/18 15:31,,,,,,en-US,,105,107,67,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon133,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,17,,,,17,7/31/18 19:55,,,,,,en-US,,101,91,28,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon135,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,22,,,,18,8/6/18 12:12,,,,,,en-US,,120,118,89,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon136,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,21,,,,19,7/31/18 15:50,,,,,,en-US,,117,118,88,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon137,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,14,,,,14,8/8/18 18:10,,,,,,en-US,,90,93,33,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon138,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,17,,,,17,8/7/18 12:08,,,,,,en-US,,101,107,67,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon139,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,22,,,,19,8/6/18 13:23,,,,,,en-US,,120,118,89,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon140,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,20,,,,17,8/6/18 18:13,,,,,,en-US,,113,108,70,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon141,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,18,,,,16,8/3/18 16:50,,,,,,en-US,,105,97,42,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon142,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,17,,,,17,8/1/18 19:00,,,,,,en-US,,101,107,67,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon143,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,24,,,,17,8/2/18 11:56,,,,,,en-US,,128,124,94,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon145,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,22,,,,16,8/8/18 13:10,,,,,,en-US,,120,118,88,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon147,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,21,,,,19,8/7/18 17:44,,,,,,en-US,,117,113,80,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon148,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,19,,,,18,8/6/18 16:53,,,,,,en-US,,109,102,56,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon149,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,26,,,,16,8/7/18 19:27,,,,,,en-US,,136,148,99,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon150,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,19,,,,18,8/13/18 17:01,,,,,,en-US,,109,106,66,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon151,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,18,,,,16,8/7/18 10:35,,,,,,en-US,,105,102,54,,2,3,,,1.17.1700,iPad mini 2 (WiFi),11.4.1
MonCon152,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,19,,,,18,8/14/18 11:26,,,,,,en-US,,109,113,81,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon153,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,16,,,,15,8/14/18 12:21,,,,,,en-US,,97,100,49,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon154,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,15,,,,16,8/14/18 16:10,,,,,,en-US,,94,96,40,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
